OK,好的,OK,ButtonOK,好的
"And just like that, in the blink of an eye. I was done with them.",就这样，眨眼间。我就跟他们闹掰了。,SubtitlesLocalizationComix3_9,Subtitles,就这样，眨眼的霎那。我便与他们无关了。
If salvation was operated by a red button… that would be it.,要是按下个红色按钮就能获得救赎的话……那该多轻松啊。,SubtitlesLocalizationComix4_1,Subtitles,"""如果按下一个红色的按钮就能获得救赎......那该多轻松。"""
Press Closure.,按下“关闭”。,SubtitlesLocalizationComix4_2,Subtitles,按下“关闭”。
Press Balance.,按下“平衡”。,SubtitlesLocalizationComix4_3,Subtitles,按下“均衡”。
Press Atonement.,按下“赎罪”。,SubtitlesLocalizationComix4_4,Subtitles,按下“赎罪”。
Press Enlightenment.,按下“启迪”。,SubtitlesLocalizationComix4_5,Subtitles,按下“启迪”。
As I’m walking away from the explosions I can’t help but wonder.,当我从爆炸中走出来时，我不禁陷入思考。,SubtitlesLocalizationComix4_6,Subtitles,当我远离硝烟的时候我不禁地开始思考。
"After all this is finished. After my brothers are saved, and my past burned to the ground.",在这一切都结束后。在我师兄弟都被拯救后，我的过去就会被埋进土里。,SubtitlesLocalizationComix4_7,Subtitles,当这一切结束。我的兄弟们被拯救，我的过去被掩埋。
It should help my meditation…,这应该有助于我的冥想……,SubtitlesLocalizationComix4_8,Subtitles,这能帮助我冥想。
"One thousand mornings of peace, huh? Here’s to the first one.",你说一千个和平的早晨，哈？从现在起就是第一天了。,SubtitlesLocalizationComix4_9,Subtitles,一千个平和的早晨，哼？现在是新一天了。
The elevator in the central room will take you down to the Hatchery. You need to find the emergency switch to unlock the doors.,中央房的电梯会带你到下面的孵化场。你需要找到紧急开关来解锁那些门。,SubtitlesLocalizationsDialogs_CagesElevator_Subtitle1,Subtitles,中央房间的电梯会带你下到孵化间。解锁门则需要找到紧急开关才行。
You’ll have to get off the conveyer belt before it reaches the end. The ventilation opening will be somewhere to the right.,你得在到达终点前离开传送带。通风口就在右侧的某个地方。,SubtitlesLocalizationsDialogs_ConveyorExitHint_Subtitle,Subtitles,您必须在传送带到达终点前下去。 通风口位于右侧某个地方。
They sealed off the section you're in using the emergency protocol.,他们启动了应急预案封锁了你所在的区域。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle1,Subtitles,他们封锁了你所在的区域，使用紧急协议。
Can’t you do something about it?,你就不能做些什么吗？,SubtitlesLocalizationsDialogs_Crossroads_Subtitle2,Subtitles,你能做点什么吗？
"I can’t, but I’m looking at the blueprints right now, and there’s an emergency exit in the Hatchery on the other side of the laboratory. It leads to the surface.",不能，但我在看那些蓝图，还有，实验室另一边的孵化场有紧急出口。它能通向地面。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle3,Subtitles,我不能，不过我正在检视蓝图，实验室另一边的孵化间那里有一个紧急出口。它通向外面。
I’m not leaving this place without my friends.,我不会留下朋友自己走的。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle4,Subtitles,我不会一个人离开这里。
"Easy. It’s a detour, but you’ll get to section Alpha through the ventilation shaft.",那简单，虽然会绕点，但你可以走通风管道去阿尔法区域。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle5,Subtitles,放心，我们只是绕个路，穿过通风管道你就能进入阿尔法区域了。
Hmmm. I don’t trust you.,呃……我不信你。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle6,Subtitles,呃....我不信任你。
Good. The feeling is mutual.,很好。我也是同感。,SubtitlesLocalizationsDialogs_Crossroads_Subtitle7,Subtitles,很好，这种想法很老练。
You must be the deluxe model,你一定是豪华版的。,SubtitlesLocalizationsDialogs_DeluxeModel_Subtitle,Subtitles,你一定就是豪华版型号了
Vasily? They… they took some of our brothers alive. I don’t know why…,瓦西里？我……我们师兄弟有人被他们活捉走了。我不知道为什么……,SubtitlesLocalizationsDialogs_DyingMonk_Subtitle1,Subtitles,瓦西里？他...他们活捉了一部分我们的弟兄...我不知道他们这么做的缘由...
I think I have some good news.,我想我有好消息。,SubtitlesLocalizationsDialogs_FyodorBlameHimself_Subtitle1,Subtitles,我想我有个好消息。
Let's hear it.,说来听听。,SubtitlesLocalizationsDialogs_FyodorBlameHimself_Subtitle2,Subtitles,说来听听。
I’m going through the documentation right now and it seems some of your friends were scheduled to have the mutation injection tomorrow. They should still be alright.,我正在翻阅那些文档，看起来你有些朋友已经被安排在明天进行变异注射。所以他们现在应该还没事。,SubtitlesLocalizationsDialogs_FyodorBlameHimself_Subtitle3,Subtitles,我现在正在阅读一些文档，看起来你的一部分朋友被安排在明天进行突变基因注射。 他们现在应该还没事。
Where are they?,他们在哪？,SubtitlesLocalizationsDialogs_FyodorBlameHimself_Subtitle4,Subtitles,他们在哪？
I’m working on it.,我正在找。,SubtitlesLocalizationsDialogs_FyodorBlameHimself_Subtitle5,Subtitles,我正在找。
Fyodor!,费奥多！,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle1,Subtitles,费奥多！
Yes?,嗯？,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle2,Subtitles,嗯？
Why didn’t you tell me that I couldn't save them?,你怎么不告诉我我救不了他们？,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle3,Subtitles,为什么你没有告诉我我救不了他们？
"When I opened your cell I put everything at stake, you understand? Security is going to find me in a few hours. I… I’m sorry Vasily. I thought you would quit if you..",当我打开你的牢房时，我就已经暴露在危险之下了，你明白吗？安保人员能在几个小时内找到我。我……我很抱歉，瓦西里。我以为你会放弃，要是你……,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle4,Subtitles,当我打开你的牢房时，我就把自己暴露在危险之中了，你明白吗？ 安保将在几个小时内找到我。 我......我很抱歉瓦西里。 我以为你会放弃，如果你..
You don’t know me very well.,你不是很了解我这个人。,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle5,Subtitles,你并不十分了解我。
You need to go through the factory and reach the hangar. I’ll meet you there. I have a plan.,你需要穿过工厂去飞机库。我会在那里和你相见。我有计划。,SubtitlesLocalizationsDialogs_FyodorLiar_Subtitle6,Subtitles,你需要穿过工厂到达机库。 我会在那里和你见面。 我有个计划。
How many of these guys are there?,那边还有多少这种家伙？,SubtitlesLocalizationsDialogs_HowManyOfTheseGuys_Subtitle,Subtitles,这里还有多少这种家伙？
"They should be somewhere around here, right?",他们应该就在这附近，对吧？,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle1,Subtitles,他们应该就在这附近了，对吧？
...,……,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle2,Subtitles,...
Are you there?,你在那吗？,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle3,Subtitles,你还在么？
Yes.. you’re very close.,没错……你很接近了。,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle4,Subtitles,是的...你很接近了。
Are you ok?,没事吧？,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle5,Subtitles,你还好么？
Yeah.,没事。,SubtitlesLocalizationsDialogs_IsThisThePlace_Subtitle6,Subtitles,当然。
It’s me Fyodor! Take it easy.,是我，费奥多！放松点。,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle1,Subtitles,是我，费奥多！ 别激动。
What’s our next move?,我们接下来该做什么？,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle2,Subtitles,我们的下一步该做什么？
"This door will get you to the control room. From what I’ve gathered, Volkov should be there.",这扇门能带你通往控制室。从我收集的情报来看，沃尔科夫应该就在那里。,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle3,Subtitles,这扇门能带你进入控制室。 从我所收集的情报来看，沃尔科夫应该在那里。
And the prisoners?,那那些囚徒呢？,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle4,Subtitles,囚犯呢？
I’m heading for them right now. There’s no one left to guard the cells. Everyone has been moved to protect the control room.,我现在马上就去他们那里。已经没有人留守牢房了。所有人都被调去保护控制室。,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle5,Subtitles,我现在要去找他们。 没有人留守牢房。 每个人都被调去保护控制室了。
"Swear that you’re going to free my them, Fyodor. I’ll find you if you don’t.",你要发誓救出我的师兄弟，费奥多。你要是没做到的话，我会找你算账的。,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle6,Subtitles,你要发誓救出他们，费奥多。 如果你做不到，我会找你算账。
"I swear, alright? And you… tell Volkov that Fyodor Sakharov will be signing up with the competition!",我发誓，好吗？还有，你跟……沃尔科夫说，费奥多·萨哈罗夫要报名参加这场比赛！,SubtitlesLocalizationsDialogs_MeetWithFyodor_Subtitle7,Subtitles,我发誓，好吗？ 而你......请告诉沃尔科夫，费奥多尔萨哈罗夫要报名参加比赛！
It’s all biochemical waste. All dead test subjects are dissolved here. Don’t think about swimming or you’ll join them.,全都是生化垃圾。所有死掉的实验体都被扔在这里溶解。别想着能游过去，不然你也会变成他们一员的。,SubtitlesLocalizationsDialogs_NoSwimming_Subtitle1,Subtitles,这都是生化废物。 所有死亡的实验对象都在这里被降解。 别想游过去，不然你就会成为他们中的一员。
Not these guys again,怎么又是这些家伙。,SubtitlesLocalizationsDialogs_NotTheseGuysAgain_Subtitle,Subtitles,怎么又是这群家伙
So this is what “progress” looks like?,这就是“进化”的样子？,SubtitlesLocalizationsDialogs_ProgressLooksLike_Subtitle,Subtitles,所以这就是“进化”的样子？
I’m surprised you haven’t asked me why I’m helping you.,你可真让我感到意外，居然到现在都没问我为什么要帮你。,SubtitlesLocalizationsDialogs_Research_Subtitle1,Subtitles,我很惊讶你到现在都没问为何我要帮助你。
You are helping me because you know it is the right thing to do.,你会帮我是因为你知道做这事是正确的。,SubtitlesLocalizationsDialogs_Research_Subtitle2,Subtitles,你帮我是因为你知道你在做一件正确的事。
Yes it IS the right thing to do. Alta-tek had promised me a raise for five years now!,没错，这是件正确的事。阿尔泰科技已经连续五年糊弄我说要给我加薪了。,SubtitlesLocalizationsDialogs_Research_Subtitle3,Subtitles,是的这是一件正确的事。阿尔泰已经连续五年糊弄我说要给我升职了。
So it’s just about the money?,所以你就只是为了钱？,SubtitlesLocalizationsDialogs_Research_Subtitle4,Subtitles,所以你只是单纯因为钱？
Oh I’m sorry? Just about the money? They cash in on my ideas and and always find reasons to avoid my compensation. If I could I would quit but they won’t allow me.,哦，抱歉你说啥？只是为了钱？他们用我点子赚钱还总找借口不给补偿金。要是可以的话我早就退出了，但他们不会允许的。,SubtitlesLocalizationsDialogs_Research_Subtitle5,Subtitles,哦，你认真的？只是因为钱？他们把我的点子变现并且总是能找到理由不给补贴。如果我能我早退出了，但是他们不会就这么同意的。
"I’m not the sort of person to enter an office with a shotgun but I guess you are, so I’m with you.",我不是那种能拿着喷子走进办公室的人，但我想你是，所以我就站你这边了。,SubtitlesLocalizationsDialogs_Research_Subtitle6,Subtitles,我不是那种手持喷子大摇大摆走进办公室的人，不过我猜你是，所以我站在你这边。
So whatever AltaTek is doing doesn’t bother you?,也就是说阿尔泰科技的所作所为不会对你造成困扰？,SubtitlesLocalizationsDialogs_Research_Subtitle7,Subtitles,难道阿尔泰科技的所作所为没有让你感到困扰么？
"No, not anymore.",不，不再会了。,SubtitlesLocalizationsDialogs_Research_Subtitle8,Subtitles,没，不再是了。
Two will always lose against one.,两个总会输给一个。,SubtitlesLocalizationsDialogs_Sees2Sergants2_Subtitle1,Subtitles,一个诸葛亮，顶个三裨将。
I hope it’s you who did the hanging.,希望把他们吊起来的人是你。,SubtitlesLocalizationsDialogs_Sees2Sergants3_Subtitle1,Subtitles,希望之前是你把他们吊起来的。
Come to me and I’ll give you what you’re looking for.,过来啊，我会给你想要的。,SubtitlesLocalizationsDialogs_Sees2Sergants4_Subtitle1,Subtitles,你过来我保证满足你的需求。
"The bigger they are, the harder they fall.",个头越大，他们倒下时就摔得越狠。,SubtitlesLocalizationsDialogs_Sees2Sergants_Subtitle1,Subtitles,站的越高，摔得越重。
"Farewell, brothers.",永别了，兄弟们。,SubtitlesLocalizationsDialogs_SeesButcheredMonks2_Subtitle,Subtitles,再会，兄弟
Maybe this is better than being taken alive.,这也许比被活捉要好。,SubtitlesLocalizationsDialogs_SeesButcheredMonks3_Subtitle,Subtitles,可能比被他们活捉要好很多
"They too, didn’t fit the parameters.",他们也一样，不符合参数。,SubtitlesLocalizationsDialogs_SeesButcheredMonks4_Subtitle,Subtitles,他们一样也不合格
Every hand in their army will be broken today.,他们军队里的每个人今天都会被干掉。,SubtitlesLocalizationsDialogs_SeesButcheredMonks5_Subtitle,Subtitles,今天所有为他们军队效命的人都会被打倒。
There’s nothing I could have done to help you.,那时我帮不了你。,SubtitlesLocalizationsDialogs_SeesButcheredMonks6_Subtitle,Subtitles,我那时做不了什么。
Someone gave these men orders.,有人在这些家伙背后发令。,SubtitlesLocalizationsDialogs_SeesButcheredMonks_Subtitle,Subtitles,他们背后有人在发号施令。
Grotesque nonsense.,真是白痴行为。,SubtitlesLocalizationsDialogs_SeesFlamethrower1_Subtitle,Subtitles,说人话。
You are beyond saving.,你已经死了。,SubtitlesLocalizationsDialogs_SeesFlamethrower2_Subtitle,Subtitles,你没救了。
Need a light?,要借火吗？,SubtitlesLocalizationsDialogs_SeesFlamethrower3_Subtitle,Subtitles,要借个火么？
You ended two lives with one bullet.,你用一发子弹结束了两条生命。,SubtitlesLocalizationsDialogs_SeesLeitenant2_Subtitle,Subtitles,一石二鸟。
Now try the same with me.,跟我来同样一套。,SubtitlesLocalizationsDialogs_SeesLeitenant3_Subtitle,Subtitles,同样的一招不能对圣斗士用第二次。
You are lost but I’ll show you the way.,你已经迷失了，但我会给你指引方向。,SubtitlesLocalizationsDialogs_SeesLeitenant4_Subtitle,Subtitles,你已经迷失了，但我会指引你道路。
That was uncalled for.,没道理。,SubtitlesLocalizationsDialogs_SeesLeitenant_Subtitle,Subtitles,多此一举。
The rabid dogs who did this need to be put down.,做出这些事的疯狗应该去死。,SubtitlesLocalizationsDialogs_SeesMonkHanged2_Subtitle1,Subtitles,做出这件事的疯子应该被五马分尸。
"Everything they do to us, they do to themselves.",他们怎么对我们，就会怎么对他们自己。,SubtitlesLocalizationsDialogs_SeesMonkHanged3_Subtitle1,Subtitles,他们做的一切都是自找报应。
They are trying to instill fear but the strong never fear the weak.,他们试图散布恐惧，但强者从不畏惧弱者。,SubtitlesLocalizationsDialogs_SeesMonkHanged4_Subtitle1,Subtitles,他们试图散布恐惧，但强者从不畏惧弱者。
Fucking animals,真他妈的禽兽。,SubtitlesLocalizationsDialogs_SeesMonkHanged5_Subtitle1,Subtitles,去他妈的杂种。
I'm done pulling punches,挥拳已经满足不了我了。,SubtitlesLocalizationsDialogs_SeesMonkHanged6_Subtitle1,Subtitles,我已经懒得挥拳了。
Don’t let the anger take over. Breathe in. Breathe out.,别被愤怒给控制了。吸气。呼气。,SubtitlesLocalizationsDialogs_SeesMonkHanged_Subtitle1,Subtitles,不要让愤怒占据你的身体。吸气。吐气。
"Shaw brothers, together till the end.",肖兄，我会陪你到最后的。,SubtitlesLocalizationsDialogs_SeesMonksBrothers_Subtitle1,Subtitles,肖兄，我会陪你一起到最后。
"Hahaha… when your master said you were a changed man I thought he babbled nonsense. I said, I know Vasily all to well. But that beard… you got me there. Did your master order you to look like this?",哈哈哈……你师傅说你已经变了个人时我还以为他是胡说八道的。我说，我太了解瓦西里这人了。但你那胡子……真是败给你了。是你师傅命你打扮成这样的吗？,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle1,Subtitles,哈哈哈...当你的师父说你是一个崭新的人的时候我还不以为然。我说，我太了解瓦西里这个人了。但是那胡子...你赢了。你师父有叫你打扮成这样么？
Did you?…,是吗？……,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle2,Subtitles,你师父难道真的...？
No!,别！,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle3,Subtitles,没有！
Don’t thank me. That’s what friends are for. Now you can shave it off!,不用谢我。这是朋友应该做的。现在你可以把它刮掉了。,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle4,Subtitles,不用谢。那是朋友应该做的。现在你可以把这撮毛剃掉了。
You know what? I’m going to enjoy terminating you.,你知道吗？我打算好好享受干掉你的过程。,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle5,Subtitles,你知道吗？我现在很乐意干掉你。
Yeah! Show me what those monks have been teaching you! Or do you need to stretch first?,很好！让我看下那些僧人教你的东西！还是说你需要先拉拉筋？,SubtitlesLocalizationsDialogs_SergeyKillsMaster_Subtitle6,Subtitles,好！给我展示下这些秃驴教你的东西！还是说你需要先念会儿经？
That's enough! Take him out!,够了！拿下他！,SubtitlesLocalizationsDialogs_SergeyOrderToKillV_Subtitle1,Subtitles,够了！拿下他！
"Vasily, this is your general speaking!",瓦西里，我是你的将军！,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle1,Subtitles,瓦西里，我是你的将军！
"Volkov, what a perfect grotesque reunion!",沃尔科夫，多荒唐的重逢！,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle2,Subtitles,沃尔科夫，多么完美的团聚！
"I order you to stop what you’re doing, if there’s a shred of a soldier left in you! Do you hear me? ",我命令你停止你所做的事情，如果你身上还留有一丝军人觉悟的话！听明白我说的吗？,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle3,Subtitles,我命令你停止你正在做的事情，如果你身上还残留着一丝军人的天性！ 你听到我说的了吗？
There isn’t.,早就没了。,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle4,Subtitles,想都别想。
"Listen to me, you inbred sack of shit! What’s done is done. You can’t help your friends. But I’m going to be merciful and let you go. This time for good.",听好了，你个近亲繁殖的狗杂种！事情已是木已成舟。你帮不了你朋友的。不过我可以大发慈悲放你走。永远都别再回来了。,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle5,Subtitles,听着，你个狗杂种！ 木已成舟，覆水难收。 你没法帮你的朋友们。 但我会很慈悲地放你走。 我是为你好。
First we are going to have a little talk.,我们得先聊会。,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle6,Subtitles,首先我们要谈一谈。
No we’re not. You’re leaving now!,不，我们没啥好聊的。你现在就得离开！,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle7,Subtitles,不，我们没什么好谈。 你现在得离开了！
"Vasily, old friend. Do you know that the bullet you shot at me is still inthere? Has been there for 20 years. Reminding that I failed to embrace you that one last time. I will correct that mistake.",我的老朋友，瓦西里。你知道你射我的子弹还留在我体内吗？已经过去20年了。这时刻提醒我上次我没有好好拥抱你。这次我要纠正那错误。,SubtitlesLocalizationsDialogs_SergeySecondEncounter_Subtitle8,Subtitles,瓦西里，老朋友。 你知道你射向我的子弹还在我体内吗？ 已经有20年了。 让我想到我最后一次见你的时候没有拥抱你。 我现在要纠正这个错误。
Are you alright?,你还好么？,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle1,Subtitles,你还好么？
"Tread lightly, brother.",万事小心，兄弟。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle10,Subtitles,小心，兄弟。
"I’m not what they’re looking for, but otherwise I’m alright.",我不是他们要找的人，除此以外，都还挺好的。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle2,Subtitles,我不是他们要找的那种人，不过总得来说我还好。
What do you mean? What they’re looking for?,什么意思？他们在找什么？,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle3,Subtitles,你什么意思？他们在找什么？
They had a scanning device. Apparently the two of us did not fit the parameters. They took the others alive.,他们手上有扫描仪。显然我们两人都不符合仪器的参数。其他人都被他们给活捉走了。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle4,Subtitles,这些人有个扫描仪。显然我们俩个不符合仪器上的参数。于是他们就把其他人带走了。
Do you know where Master Lei is?,你知道雷师傅在哪吗？,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle5,Subtitles,你知道雷师父在哪么？
He should be in the temple with the others.,他和其他人应该都在寺里。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle6,Subtitles,他应该和其他人待在庙里。
I’m going there.,我要去那。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle7,Subtitles,我要过去。
Cut through the old ruins under the monastery. There's a hidden entrance behind the shelves.,"
从寺庙下方的旧遗迹穿过去吧。隐藏入口就在架子后面。",SubtitlesLocalizationsDialogs_TaoTalk_Subtitle8,Subtitles,"
穿过修道院下的废墟。架子后面有一个隐蔽的入口。"
"Thank you. Find a place to hide, it will be over soon.",谢谢你。找个地方躲起来吧，这件事很快就会结束。,SubtitlesLocalizationsDialogs_TaoTalk_Subtitle9,Subtitles,谢谢你。找个地方藏起来，这一切很快就会结束的。
The tools of war sure have come a long way since I’ve been gone,这些战争工具在我离开后又进步了很多。,SubtitlesLocalizationsDialogs_ToolsOfWar_Subtitle,Subtitles,自从我走了以后，战斗工具肯定已经发展了很多。
Hmm……underwhelming,嗯……真无趣。,SubtitlesLocalizationsDialogs_Underwhelming_Subtitle,Subtitles,嗯......印象深刻
That door is jammed. Drop down on the conveyor belt and find a ventilation opening.,那扇门卡住了。落到传送带上并找到通风口。,SubtitlesLocalizationsDialogs_VGoesToConveyor_Subtitle1,Subtitles,那扇门被卡住了。 你要落在传送带上并找到通风口。
Alright.,好的。,SubtitlesLocalizationsDialogs_VGoesToConveyor_Subtitle2,Subtitles,好的。
Killing you brings me no joy. We swore if this day came that we would show each other mercy ... but  we fought like enemies and you died like a warrior. At least I gave you that. For what it's worth.,杀死你带不给我愉悦。我们曾发誓，要是发生今天这种事，我们会给对方留点情……但我们像敌人一样战斗，并且你像战士般死去。不管怎样， 至少我给了你这种待遇。,SubtitlesLocalizationsDialogs_VKillsSergeyOnceAndForAll_Subtitle,Subtitles,杀死你并不能带给我愉悦。 我们发誓，如果这一天到来，我们会互相展现怜悯，但我们像敌人一样战斗，而你们像战士一样死去。 至少我给了你这个待遇。 物有所值。
Seriously!? They couldn’t think of a way to make you guys more disgusting?,认真的！？他们没办法让你们变得更恶心吗？,SubtitlesLocalizationsDialogs_VMeetErgaster_Subtitle,Subtitles,说真的！？ 他们能想出个法子让你们看上去更恶心点么？
Vasily can you hear me?,瓦西里，能听到我说话吗？,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle1,Subtitles,瓦西里，能听见么？
Who is this?,你是谁？,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle2,Subtitles,你是谁？
My name is Fyodor Sakharov. I’m the head of the bio-engineering team. I want to help you.,我叫费奥多·萨哈罗夫。是生化工程团队的头儿。我想帮你。,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle3,Subtitles,我叫费奥多·萨哈罗夫。我是生化工程小组的头头。我想要帮你。
Help me? You created those mutants!,帮我？这些变异怪都是你造出来的。,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle4,Subtitles,帮我？这些变种是你创造的。
Listen to me. I overpowered the security system in your block. That’s how you got out.,听我说。你那边的安保系统已经被我控制了。这就是你能出来的原因。,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle5,Subtitles,听我说。我已经控制了你所在房间的安保系统。你就是因此逃出来的。
What do you want?,你想要什么？,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle6,Subtitles,你想要什么？
I need to get off this line right now. If you want to free the other monks you have to head to section Alpha. Grab a headset from one of the soldiers and I will establish a secure line.,现在我得挂了。你要是想救出其他僧人，就得去阿尔法区域。你可以从士兵那里拿个耳机，我会设法建立安全线路的。,SubtitlesLocalizationsDialogs_VMeetFyodor_Subtitle7,Subtitles,我要挂断了。如果你想要救其他的僧人你需要去阿尔法区域。你可以从士兵那里得到耳机，我会建立一条安全的线路。
And I thought these things couldn’t get any uglier,我想这些东西变不了更丑了。,SubtitlesLocalizationsDialogs_VMeetMutantBoss_Subtitle,Subtitles,我以为这些东西不可能变得丑了
You should have stayed in your cage!,你应该乖乖待在你笼子里的！,SubtitlesLocalizationsDialogs_VMeetSuperMutant_Subtitle,Subtitles,你应该乖乖待在你的笼子里！
"Alright, these things are just not made to wrestle. Got to pick up a weapon.",好吧，竟然造出这种不好对付的东西。还是捡把武器吧。,SubtitlesLocalizationsDialogs_VShouldStayAway_Subtitle1,Subtitles,"呃，这些玩意不能用来打架。我需要一件武器。
"
Do you like what I did to your monk friends?!,你喜欢我这么对待你的僧人朋友吗？,SubtitlesLocalizationsDialogs_VolkovDanger1_Subtitle,Subtitles,你喜欢我对你的和尚朋友的处理方式么？
"I will make a coat of your skin, Vasily! I will drink your blood!",瓦西里，我要扒你的皮做外套！我要喝你的血！,SubtitlesLocalizationsDialogs_VolkovDanger2_Subtitle,Subtitles,瓦西里，我会剥了你的皮做件外套！ 我会饮干你的血！
Go on! Crush my head! Stomp my face in! I know you want to! Don't fight your instincts!,动手吧！砸爆我的头！踩烂我的脸！我知道你想这么做！别反抗你的本能！,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle1,Subtitles,继续！ 砸烂我的头！ 跺碎我的脸！ 我知道你想要这么做！ 不要反抗你的本能！
I almost forgot. Fyodor Sakharov helped me a lot along the way. He wanted you to know this.,差点忘了说。这一路来费奥多·萨哈罗夫帮了我很多。他想让你知道这件事。,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle2,Subtitles,我差点忘了。 费奥多萨哈罗夫一路上帮了我很多。 他想让你知道这一点。
Fyodor who?,费奥多是谁？,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle3,Subtitles,费奥多谁？
Your employee. Fyodor Sakharov. An engineer?,你的雇员。费奥多·萨哈罗夫。是个工程师？,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle4,Subtitles,你的员工。 费奥多萨哈罗夫。 一个工程师？
I’m dying Vasily! I don’t care about some engineer who’s name I don’t remember!,我就要死了，瓦西里！我才不在乎名字都记不得的工程师！,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle5,Subtitles,我是个将死之人了瓦西里！ 我不在乎某个我不记得名字的工程师！
"I’m happy it’s you who got me... You were always my favorite, the one I had the highest hopes for. You did not disapoint me.",真高兴来我这的人是你……你是我最喜欢的作品，有着我最高的期望。你果然没让我失望。,SubtitlesLocalizationsDialogs_VolkovDying_Subtitle6,Subtitles,我很高兴，是你把我......你总是我最喜欢的杰作，有着我最高期望的杰作。 你没有让我失望。
"I have to compliment you, Vasily. The way you went through all my men like a meat grinder. Even Berkut? He used to be your equal, I gave him all the tools to be the best and you smacked him down like a naughty little girl!",我必须得表扬你，瓦西里。你像绞肉机般闯过我所有部下。就连贝尔库特也输给了你。他曾经跟你不相上下，我给了他最好的工具，让他成为最强的人，而你却像打一个熊孩子一样打倒了他！,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle1,Subtitles,我必须恭维你下，瓦西里。 你像我的绞肉机一样碾过所有人。 甚至贝库特？ 他曾经与你匹敌，我给他所有的条件让他成为最强的，你像打一个烦人的熊孩子一样碾碎了他！
"Just tell me, I beg of you. It did feel great, didn’t it? Bringing this whole thing down with your bare hands?",告诉我吧，就算是我求你。赤手空拳把这一切都毁掉的感觉是不是很棒？,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle2,Subtitles,告诉我，算我求求你了。 这样做确实感觉很棒，不是吗？ 用双手把各种东西掰下来？
It needed to happen.,我必须得这么做。,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle3,Subtitles,我不得不这么做。
No it didn’t. You chose to do it. You trusted you had the power to do it. You bent the world to your will. Godlike.,不，不是必须的。是你选择了这么做的。你相信自己有做成这件事的力量。你让整个世界都屈服于你的意志。就像神一般。,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle4,Subtitles,不，它没有。 你自己选择的。 你相信你有力量做到这一点。 你让整个世界屈服于你的意志。天啊。
